DEPTH,Gamma Ray - Corrected gAPI,Resistivity Phase - Corrected - 2MHz ohm.m,Bulk Density - Compensated kg/m3,Neutron Porosity (Sandstone) Euc,Corrected Drilling Exponent unitless,ROP for the Bit - Distance Over Time (On Bottom) m/s,Chrom 1 Total Gas Euc,Surface Torque Average N.m,Weight On Bit N,Mechanical Specific Energy Pa,28 Stick Slip RPM Average RPM,Mud Weight In kg/m3,ECD at Bit kg/m3,Annular Pressure Pa,PHI_COMBINED,PREDICTED_PORE_PRESSURE_PSI,FLUID_CLASS
492.7073370306391,174.50818801709505,1.2959,1630.0,0.871548,-0.0001168660819530487,0.006730739335248659,0.0,5391.159423828125,150180.4464905262,729212287.1517081,1.596721451729536,1030.0,1033.0,10329700.0,0.4,10177.621247598316,Background
493.14105827802524,143.05688253477877,1.3087842631148257,1630.0,0.871548,-0.0023198947310447693,0.00673167971278298,0.0,6159.55973815918,272202.1676697731,312643089.44737685,0.009615069255232811,1030.0,1033.0,28571090.085509203,0.4,10187.432250646834,Background
493.5747795254114,115.27219092644678,1.3325052259296335,1630.0,0.871548,-0.0035363472998142242,0.00673293525204108,0.0,6106.228652954102,284358.78240323067,312637936.4935025,-0.6853703279048204,1030.0,1033.0,28571070.0435675,0.4,10197.243253695353,Background
494.0085007727975,131.1522720247302,1.28096,1630.0,0.871548,-0.0028087496757507324,0.006734475113755698,0.0,6137.684753417969,277406.09749674797,312640883.5650681,-0.2950036022812128,1030.0,1033.0,28571081.50738793,0.4,10207.054256743872,Background
494.44222202018364,118.81897463405815,1.28096,1630.0,0.871548,-0.0014594122767448425,0.006735011540194551,0.0,5282.165908813477,172719.0634367466,728626483.542514,0.15400349907577038,1030.0,1033.0,10354900.0,0.4,10216.86525979239,Background
494.87594326756977,134.9927033366664,1.2479145867806174,1630.0,0.871548,-0.0025588180869817734,0.00674020312173834,0.0,6146.380554199219,275719.39678549767,312641598.47577083,-0.20840820856392384,1030.0,1033.0,28571084.28988386,0.4,10226.676262840909,Background
495.3096645149559,151.14542994817688,1.2734822865715056,1630.0,0.871548,-0.001780875027179718,0.006744606290144559,0.0,6178.358505249023,268647.3034515381,312644596.1668681,0.18858588859438896,1030.0,1033.0,28571095.950365465,0.4,10236.487265889427,Background
495.74338576234203,157.46,1.281428282571143,1630.0,0.871548,-0.0014529787003993988,0.006748044393326666,0.0,6191.236267089844,265880.7864024639,312645768.8136506,0.3410844914615154,1030.0,1033.0,28571100.512278132,0.4,10246.298268937946,Background
496.17710700972816,159.978107464315,1.2714088253477591,1630.0,0.871548,-0.0012896377593278885,0.006751792951613747,0.0,6196.7442626953125,264775.7681360245,312646237.18493164,0.3991963881999254,1030.0,1033.0,28571102.33492124,0.4,10256.109271986465,Background
496.6108282571143,165.61943022092927,1.28096,1630.0,0.871548,3.7383288145065308e-06,0.006756371162141935,0.0,5385.080001831055,154560.15008568764,726326407.8772427,1.3256207164376974,1030.0,1033.0,10456000.0,0.4,10265.920275034983,Background
497.04454950450037,169.09683534866826,1.2770440985544178,1630.0,0.871548,0.00015057437121868134,0.006760510834984999,0.0,5392.766143798828,153159.7202193737,726327054.198211,1.4100830852985382,1030.0,1033.0,10456000.0,0.4,10275.731278083502,Background
